source,title,description,publish_datetime,sentiment,symbol
economictimes,"JM Financial initiates coverage on 3 plastic pipes stock, predicts up to 27% upside","JM Financial initiates coverage on four Indian plastic piping companies—Supreme Industries, Astral, Prince Pipes, and Plastic Pipes—projecting up to 25% upside. Sector recovery is supported by stabilising PVC prices, infrastructure push, real estate growth, and regulatory support. Selective investment opportunities arise amid margin expansion and structural upcycle.",2025-09-26 07:44:30,positive,JMFINANCIL
economictimes,"Hyundai Motor India shares could fall over 26%, says InCred Equities. Here’s why","InCred Equities sees a potential 26% drop in Hyundai Motor India's shares, setting a target price of Rs 2,023. They believe limited GST impact and high reliance on exports and SUVs will hinder revenue growth, unlike Maruti Suzuki and Tata Motors. Despite strong recent margins, new plant overheads may pressure future EBITDA.",2025-09-26 07:14:11,negative,HYUNDAI
economictimes,"HAL shares up 15% in 2025, analysts see potential rally up to Rs 6,220. Here’s why","Hindustan Aeronautics Limited shares are soaring. This follows a major contract from the Defence Ministry for 97 Light Combat Aircraft Mk1A. Analysts predict further stock gains. The deal is worth over Rs 62,370 crore. Deliveries are expected to start in FY28. The aircraft will have over 64% indigenous content. This project will boost India's domestic aerospace sector and create jobs.",2025-09-26 06:35:29,positive,HAL
economictimes,Explained: What Dr Trump’s 100% bitter tariff pill means for India’s $10 billion pharma export machine,"The US has imposed a 100% tariff on branded and patented pharmaceuticals, targeting imports from India’s $10 billion export industry. While generics remain unaffected for now, uncertainty persists around complex drugs. Sun Pharma, Dr. Reddy’s, Cipla, and Zydus face the highest risks due to significant US revenue exposure.",2025-09-26 06:24:06,neutral,General
economictimes,"GK Energy shares rally 7% after D-Street debut, IPO investors see 15% gains","GK Energy shares climbed 6.6% to ₹175.95, taking total IPO listing gains to nearly 15% after debuting at an 11.8% premium.",2025-09-26 05:56:41,positive,GKENERGY
economictimes,Japanese stocks on track for 11th straight year of seasonal September outflows,"Foreign investors continued their selling spree of Japanese equities for the second consecutive week, totaling 1.75 trillion yen, driven by profit-taking after a record-setting rally. This trend contributes to a potential 11th straight year of net outflows in September. Meanwhile, Japanese investors increased their holdings of foreign long-term bonds, marking the fourth consecutive week of net purchases.",2025-09-26 05:48:53,positive,General
economictimes,"Tata Motors shares gain 2%, snap two-day fall as JLR commences phased restart after cyberattack","Tata Motors shares rose on September 26 as Jaguar Land Rover (JLR) began a phased restart after a cyberattack halted production for nearly a month. Operations, IT systems, and logistics are being restored, aiming to clear backlogs and stabilise revenue impact.",2025-09-26 05:31:15,positive,TATAMOTORS
economictimes,"Epack Prefab Technologies IPO Day 3: Issue susbcribed 77% so far;check GMP, and other key details. Should you bid?","Epack Prefab Technologies’ IPO is trading at a grey market premium of roughly 6.8% (₹14), indicating moderate investor interest. The shares are likely to list near ₹218 based on the current GMP.",2025-09-26 05:29:00,neutral,General
economictimes,Risk of US Government shutdown rises as Congress hits funding impasse,,2025-09-26 05:26:47,negative,General
economictimes,"Sun Pharma, Cipla or Dr Reddy's: Which pharma major is most vulnerable to Trump's 100% tariff","President Trump's imposition of 100% tariffs on branded drugs has shaken Indian pharma companies, impacting stocks like Sun Pharma, Cipla, and Dr. Reddy's. With significant US revenue exposure, firms face potential earnings hits, especially if tariffs expand to complex generics. Companies with US manufacturing plants may find some mitigation, but uncertainty looms over the future of Indian pharma exports.",2025-09-26 05:22:07,negative,SPARC
economictimes,Nazara Technologies stock price down 75%? Here’s what’s really happening,"Nazara Technologies shares appeared to fall 75% on September 26 due to a simultaneous 1:2 stock split and 1:1 bonus issue. Each share effectively converted into four, lowering the price proportionally while keeping overall investment value unchanged and boosting liquidity for investors.",2025-09-26 05:02:54,negative,NAZARA
economictimes,Japan's Topix hits record high despite US tariffs on pharma,"Japan's Topix index reached a record high on Friday. This happened despite pharmaceutical shares facing pressure. The Nikkei index, however, declined after a record close. Real estate performed well, while pharma struggled. Chip-related shares also saw a sharp drop. Masayuki Kichikawa remains optimistic about Japanese equities. He cited healthy economic fundamentals and reasonable valuations.",2025-09-26 04:43:36,negative,General
economictimes,Swiggy shares down 21% so far in 2025. Will Rapido stake sale fuel Instamart’s next leg?,"Swiggy is selling its stake in Rapido. This move aims to free up funds for Instamart. Instamart is Swiggy's quick-commerce business. The sale is worth Rs 2,400 crore. Prosus and Westbridge Capital are the buyers. Analysts have mixed opinions on the sale. Some believe it's a temporary fix. Others see it as a positive step.",2025-09-26 04:37:33,negative,SWIGGY
economictimes,"Inflation, Tariffs and the Fed’s Next Moves","Fed official Stephen Miran urges steep U.S. rate cuts to 2%, arguing tariffs aren’t inflationary. Other policymakers stress caution, highlighting stable labor conditions and data-driven decisions for future monetary policy.",2025-09-26 04:32:25,negative,General
economictimes,Explained: Why hasn't GST 2.0 triggered a rally in Tata Motors' stock?,"Tata Motors' stock has remained stagnant despite GST benefits boosting domestic auto companies. With Jaguar Land Rover (JLR) contributing 70% to revenue, Tata Motors gains less from Indian tax cuts. A recent cyberattack disrupting JLR's production and potential £2 billion financial impact further dampen investor sentiment.",2025-09-26 04:20:26,negative,General
economictimes,Rs 3 lakh crore lollapalooza to hit India: What this means for consumer demand and stocks,"India is set for a consumption boost of Rs 3 lakh crore. GST and income tax cuts, along with RBI's rate reductions, will fuel this surge. Experts predict a 'Lollapalooza effect' impacting consumption-linked sectors. Rural demand is recovering, and urban areas will benefit from tax cuts. Discretionary spending is expected to rise.",2025-09-26 04:11:41,positive,HESTERBIO
economictimes,"Tata Motors, Mahindra &amp; Mahindra, and other auto stocks in focus as Trump’s slaps 25% tariff on heavy-duty trucks","Donald Trump has announced sweeping tariffs effective October 1, including 25% on heavy-duty trucks, 100% on branded drugs, 50% on kitchen cabinets and vanities, and 30% on upholstered furniture — a move that has stoked global trade tensions.",2025-09-26 04:04:42,negative,TATAMOTORS
economictimes,South Korea to open currency market for 24-hour trading,"South Korea plans 24-hour currency trading to boost foreign investor access and improve MSCI status, but the won faces pressure amid stalled U.S. trade talks and market uncertainty.",2025-09-26 04:02:11,negative,General
economictimes,Ather Energy shares in focus as rare earth magnet crunch delays Rs 26 crore incentive claim,Ather Energy shares: The EV maker said supply chain disruptions from China’s rare earth export curbs forced temporary changes in its motor production. The company has sought a waiver from the Ministry of Heavy Industries on domestic magnet fitment rules and delayed demand incentive claims worth ₹26.25 crore.,2025-09-26 04:00:00,negative,ATHERENERG
economictimes,"Sensex drops over 300 pts, Nifty below 24,800 as D-St extends losses to day 6 after Trump slaps fresh tariffs","Indian stock markets declined on Friday, extending losses for the sixth consecutive session, primarily driven by a sell-off in pharmaceutical stocks. This downturn followed U.S. President Donald Trump's announcement of new tariffs, including a 100% levy on branded drugs and 25% on heavy-duty trucks, impacting market sentiment and broader indices.",2025-09-26 03:59:26,negative,General
economictimes,Ahead of Market: 10 things that will decide stock market action on Monday,"Indian equities posted their steepest weekly fall in seven months as the Sensex and Nifty extended losses amid U.S. visa curbs and drug tariffs. Pharma and IT stocks dragged, while FIIs stayed cautious. Analysts flagged key support at 24,500, with volatility expected around monthly expiry and global uncertainties weighing on sentiment.",2025-09-28 10:47:46,negative,General
economictimes,"IndusInd Bank, Wipro, Infosys, TCS are Emkay’s preferred picks amid volatility. Here’s why","Amid heightened trade tensions and market volatility, Emkay Global has identified a clutch of value and quality stocks it believes could outperform in the months ahead.",2025-09-28 10:34:44,positive,INDUSINDBK
economictimes,"BYD sees Warren Buffett exit as routine, investors react with caution","Warren Buffett’s Berkshire Hathaway has fully sold its 17-year stake in Chinese electric-vehicle maker BYD, ending one of the most profitable foreign bets in the conglomerate’s history.",2025-09-28 09:47:20,negative,General
economictimes,"Market Trading Guide: Buy Ashok Leyland, sell Dixon on Monday for gains up to 9%","The Nifty extended its losing streak with a sixth consecutive decline, slipping below the 25,000 support level amid broad-based selling, especially in pharma and IT stocks. Analysts warn of further downside if 24,500 breaks, though a recovery remains possible. Stock recommendations include Ashok Leyland, Dr Agarwal’s Health Care, Dixon, and Anant Raj.",2025-09-28 07:43:50,negative,General
economictimes,"Indo MIM files IPO with Sebi, aims to raise Rs 1,000 crore","Precision components maker Indo MIM has filed preliminary papers with markets regulator Sebi to raise funds through an initial public offering (IPO) comprising a fresh issue of equity shares worth Rs 1,000 crore.",2025-09-28 06:52:13,positive,ADANIPORTS
economictimes,"Multibagger Mania: These 6 stocks rocketed up to 2,011% in 3 straight quarters. Do you own any?",,2025-09-28 06:26:14,neutral,General
economictimes,"Nifty vs gold: 2026 could mark the big mean reversion trade, says Axis MF’s Shreyash Devalkar","After a year where gold and silver dazzled investors, Axis MF’s Equity Head Shreyash Devalkar believes 2026 could mark a turning point. With earnings recovery, sectoral rotation and supportive macros lining up, he argues Nifty may finally outshine precious metals, setting the stage for a classic mean reversion trade.",2025-09-28 06:24:36,positive,General
economictimes,ET Market Watch: Sensex surges over 700 points on RBI policy boost,,2025-10-01 14:07:20,positive,HESTERBIO
economictimes,"Nifty breaks winning streak, traders eye Oct 3 for strong intraday momentum","The Indian equity market ended a three-week winning streak as Nifty50 slipped 2.6%, pressured by global trade tensions, H-1B visa concerns, and persistent foreign outflows. Time-based technical signals indicate potential intraday volatility, emphasizing cautious trading and disciplined risk management for short-term traders amid fluctuating support and resistance levels.",2025-09-28 06:20:08,negative,General
economictimes,Saurabh Mukherjea-led Marcellus Investment Managers filed FIR against ex-CFO. Here's why,"Marcellus Investment Managers filed a police complaint against ex-CFO Pankaj Harish Gupta for diverting Rs 1.18 crore for personal use. The firm reassures clients their investments remain unaffected. Gupta admitted misappropriation, while Marcellus cooperates with authorities, emphasizing transparency, governance, and business continuity. Client assets are safeguarded.",2025-09-28 06:12:10,neutral,COSMOFIRST
economictimes,From laggards to leaders: PSU Banks outpace private peers in loan growth after 15 years,"India’s public sector banks have achieved a remarkable turnaround, with asset quality improvements, disciplined cost management, and strong credit growth driving profitability. PSBs now deliver sustainable returns, with robust capital positions and cleaner balance sheets. SBI and PNB stand out as key beneficiaries, offering attractive investment potential in India’s evolving banking landscape.",2025-09-28 06:06:23,positive,General
economictimes,"Stocks to watch this week: Hindustan Copper, NLC India among five picks with potential gains up to 28%","The latest Trend Tracker shows Nifty falling 2.7% due to visa fee hikes and pharma sector tariffs, settling below 24,700. Analysts expect weak sentiment with stock-specific action. ETMarkets lists five picks — Hindustan Copper, NLC India, Usha Martin, Jindal Saw, Capri Global Capital — offering up to 28% upside in the near term.",2025-09-28 05:44:40,negative,HINDCOPPER
economictimes,"Sun Pharma stares at 8-10% profit risk amid 100% Trump tariffs, says HSBC. Can the giant navigate this?","Sun Pharma faces potential impact from the US 100% tariff on patented drugs, which could reduce FY26–27 earnings by 8–10%. Generic drugs remain exempt. The company’s innovative portfolio, strong cash position, and mitigation options support steady revenue growth, maintaining HSBC’s Buy rating with Rs 1,850 target.",2025-09-28 05:42:37,positive,General
economictimes,Alcobrew Distilleries India files draft papers for IPO; eyes Rs 258 cr via fresh issue,Spirit maker Alcobrew Distilleries India Ltd has filed draft papers with capital markets regulator Sebi to seek its approval to raise funds through an initial public offering (IPO).,2025-09-28 05:37:14,positive,General
economictimes,Market cap of top-10 most valued firms drops by Rs 2.99 lakh cr; TCS hit hard,"The combined market valuation of the top-10 most valued firms eroded by Rs 2,99,661.36 crore last week, in line with a bearish trend in equities, with IT bellwether Tata Consultancy Services taking the biggest hit.",2025-09-28 05:34:48,negative,TCS
economictimes,Tata Capital: GMP action begins for biggest IPO of 2025. 5 things to know,"Tata Capital plans India’s largest 2025 IPO of Rs 17,200 crore on October 6. Proceeds will boost Tier-1 capital, supporting lending growth. Grey market trades at Rs 29; valuation ~$18 billion.",2025-09-28 05:23:05,positive,General
economictimes,Eternal vs Swiggy: Which one does HSBC pick as competition intensifies?,"HSBC reiterates “Buy” on Eternal, raising its target to Rs 390, citing strong scale, margin leadership, and robust cash reserves. Swiggy remains on “Hold” due to slower margin growth, high cash burn, and execution risks, despite rising average order values. Eternal outperforms in quick commerce and food delivery segments.",2025-09-28 05:07:08,positive,General
economictimes,"FPIs offload Rs 16,422 crore last week, sentiments to reverse in near future: Analysts","Foreign portfolio investors (FPIs) offloaded Rs 16,422 crore worth of Indian equities last week, driven by concerns over valuations and new policy measures of US government but the sentiment is set to reverse, analysts said on Sunday.",2025-09-28 04:55:55,negative,General
economictimes,20 IPOs to open in the next two days. GMPs range between 8-18%,"20 IPOs open soon on Dalal Street; Fabtech leads with 18% GMP, others show 6–10% or flat. Early grey market activity hints at listing gains and investor interest.",2025-09-28 04:55:33,positive,General
economictimes,These 10 penny stocks plunged up to 55% in just a month — Are you affected?,"In the past month, 10 penny stocks have witnessed steep declines, shedding between 25% and 55% of their value. These underperformers were identified using a targeted screening approach, focusing on stocks with a market capitalisation below Rs 1,000 crore, a share price under Rs 20, and a minimum recent trading volume of 5 lakh shares.",2025-09-28 04:13:49,negative,General
economictimes,"​September IPO rush: 11 listings, but half are below their issue price. Still holding?","Sept 2025 saw 11 IPO listings, with strong debuts as 10 opened in the green, averaging 9.57% gains. However, post-listing performance faltered, with only 5 trading above issue price and 6 slipping below.",2025-09-28 04:05:21,negative,ADANIPORTS
economictimes,"Will Laurus Labs, Wockhardt see more pain on Monday? Anand James reads the charts","Pharma and IT stocks faced heavy pressure after Trump’s 100% tariff and H-1B visa fee hike, dragging Nifty lower. Laurus Labs showed a topping pattern while Wockhardt stayed in consolidation. Nifty IT broke support, hinting further downside. Analysts suggest cautious trading, with Tata Motors and VTL offering potential bullish setups.",2025-09-28 04:03:51,negative,General
economictimes,"RBI MPC, IPO action and FII trends among 8 factors to impact stock markets in holiday-truncated week","Indian markets ended the week down 2.7%, dragged by IT and pharma amid U.S. tariff and visa fee worries. Key drivers ahead include RBI policy outcome, U.S. market cues, IPO rush, rupee weakness, and crude price trends. Analysts suggest caution with focus on fundamentally strong stocks.",2025-09-28 04:00:43,negative,ADANIPORTS
economictimes,"Nifty, Bank Nifty face pressure; Rajesh Palviya warns IT may weaken further","Rajesh Palviya of Axis Securities sees Nifty and Bank Nifty under pressure, with key levels likely to dictate moves. He expects IT stocks to remain weak and advises selective trades in Ashok Leyland and Biocon.",2025-09-27 10:17:30,negative,General
economictimes,"Market outlook cautious as FIIs, global risks keep investors on edge: Sunil Subramaniam","Market direction remains uncertain amid external policy risks, currency volatility, and crude price fluctuations. Short-term focus is on consumer sectors, while long-term opportunities lie in real estate, industrials, and PSU banks driven by consumption and private capex.",2025-09-27 08:43:38,negative,General
economictimes,HSBC picks 11 stocks to ride FII return after 12-month absence. Do you own any?,"HSBC names 11 Indian stocks to watch as foreign institutional investors eye a comeback after a 12-month hiatus, highlighting potential gains across IT, consumer, financials, and infrastructure sectors.",2025-09-27 08:33:07,positive,General
economictimes,IndusInd Bank Share Price Live Updates: IndusInd Bank Volume Overview,,2025-10-03 02:40:39,neutral,General
economictimes,Trump’s dual shocks thwart bets on Indian stock market rebound,"Donald Trump's recent actions, including H-1B visa changes and pharmaceutical tariffs, have dealt a significant blow to Indian stock markets, thwarting a nascent rebound. This has led to foreign investor sell-offs and increased US-India tensions, resetting expectations for a year-end rally and raising concerns about economic growth.",2025-09-27 07:51:33,negative,General
economictimes,Skin in the game matters: Samir Arora suggests investors to question fund managers on personal exposure,"Helios Capital’s Samir Arora urged investors to question fund managers, AMCs, and brokers about their personal stakes in recommended strategies, stressing the need for transparency, accountability, and “skin in the game” in investment decisions. For traders, the same principle applies and  they should ask their broker- how much of his personal wealth he is hedging via weekly options and futures.",2025-09-27 07:30:48,neutral,General
economictimes,Concurrent Losers: 10 Nifty stocks decline for 5 consecutive sessions,"Ten Nifty50 stocks, including TCS, Tech Mahindra, and Infosys, saw losses across five consecutive sessions, reflecting continued pressure on the benchmark index, which fell 2.65% over the week ending September 26.",2025-09-27 07:23:51,negative,General
economictimes,"Defying gravity: Tata Investment, Zuari Industries among smallcap stocks in weekly top 10, rise up to 31%","Despite a week of heavy losses for smallcaps, several stocks like Tata Investment and Zuari Industries posted impressive weekly gains, with top performers rising up to 31%.",2025-09-27 07:13:13,positive,TATAINVEST
economictimes,"Market bloodbath: 440 of BSE 500 stocks end week in red, 17 sink in double-digits amid IT, pharma rout","Indian markets slumped as BSE 500 fell 3.3% amid Trump’s steep H-1B visa fee hike and 100% drug tariff announcement. Over 440 stocks dropped, with IT, realty, consumer and healthcare sectors hit hardest.",2025-09-27 06:34:45,negative,BSE
economictimes,"Nifty drain jewels? TCS, Infosys, DMart among 5 biggies with zero returns in last four years","Once market favourites, TCS, Infosys, DMart, Asian Paints and HUL have delivered flat or negative returns over the past four years despite strong fundamentals.",2025-09-27 05:35:03,negative,TCS
economictimes,Smart picks: 5 IPOs that could offer up to 20% returns next week,"A handful of IPOs lined up for debut next week are indicating potential double-digit returns, with some tipped to deliver up to 20% gains on listing day.",2025-09-27 05:30:27,positive,ARVSMART
economictimes,"European shares recover from three-week lows, but weekly momentum fizzles","European stocks rebounded Friday, with the STOXX 600 gaining 0.8%, largely driven by financials and industrials. Steel producers surged on reports of potential EU tariffs against Chinese imports. Healthcare stocks ended flat despite new US drug tariffs, as the impact was already priced in. US inflation data eased fears of delayed rate cuts, while InterContinental Hotels Group saw significant gains.",2025-09-27 04:27:40,positive,AAREYDRUGS
economictimes,"Pharma Index Down 2%, but Selloff could be an 'Exaggeration'","Nifty's Pharma index saw a decline after US President Trump announced a 100 percent tariff on branded drugs from October 1. Analysts noted India's limited exposure to patented drugs in the US market. Most Indian firms focus on generic medicines, which are not affected by the new tariff. Major Indian players also operate manufacturing facilities within the United States.",2025-09-27 04:04:30,negative,General
economictimes,Bears capture spooked D-Street for 6th session running,"Indian equity indices extended their longest losing streak in FY26 for a sixth consecutive session, driven by new US tariffs on drugs and trucks, increased H-1B visa fees, and Accenture's cautious outlook. This battered investor sentiment, leading to broad-based selling across sectors and a surging fear gauge. The rupee also traded near its record low.",2025-09-27 03:59:09,negative,General
economictimes,"US stocks end higher after as-expected inflation data; S&amp;P 500, Nasdaq post weekly declines","US stocks closed higher Friday on expected inflation data, yet posted weekly losses, ending winning streaks for S&amp;P 500 and Nasdaq. Investors are weighing the Federal Reserve's future rate cuts against a stronger economy and upcoming earnings season. New tariffs and mixed signals from Fed officials added to market uncertainty, with key employment data due next week.",2025-09-27 03:48:24,negative,General
economictimes,"Wall Street Week Ahead: Investors look to jobs data to support rate-cut path, pricey stock market",Next week's U.S. jobs data holds significance for markets. It needs to indicate a cooling labor market. This supports further interest rate cuts. It must not trigger recession concerns. The Federal Reserve plans more rate reductions this year. High stock valuations create market vulnerability. A potential government shutdown also looms.,2025-09-27 03:46:16,negative,General
economictimes,Big US pharma stocks rise as Street reacts to Trump's tariff on drugs,President Trump announced new 100 percent import taxes on branded pharmaceuticals. These tariffs begin October 1. Companies building US manufacturing plants will be exempt. Major drugmakers like Merck and Lilly saw slight share increases. Analysts predict minimal impact on large firms. Smaller drugmakers might face vulnerability. Generic medicines remain unaffected by this new policy.,2025-09-26 16:37:38,positive,General
