source,title,description,publish_datetime,sentiment,symbol
economictimes,"JM Financial initiates coverage on 3 plastic pipes stock, predicts up to 27% upside","JM Financial initiates coverage on four Indian plastic piping companies—Supreme Industries, Astral, Prince Pipes, and Plastic Pipes—projecting up to 25% upside. Sector recovery is supported by stabilising PVC prices, infrastructure push, real estate growth, and regulatory support. Selective investment opportunities arise amid margin expansion and structural upcycle.",2025-09-26 07:44:30,positive,JMFINANCIL
economictimes,"Hyundai Motor India shares could fall over 26%, says InCred Equities. Here’s why","InCred Equities sees a potential 26% drop in Hyundai Motor India's shares, setting a target price of Rs 2,023. They believe limited GST impact and high reliance on exports and SUVs will hinder revenue growth, unlike Maruti Suzuki and Tata Motors. Despite strong recent margins, new plant overheads may pressure future EBITDA.",2025-09-26 07:14:11,negative,HYUNDAI
economictimes,"HAL shares up 15% in 2025, analysts see potential rally up to Rs 6,220. Here’s why","Hindustan Aeronautics Limited shares are soaring. This follows a major contract from the Defence Ministry for 97 Light Combat Aircraft Mk1A. Analysts predict further stock gains. The deal is worth over Rs 62,370 crore. Deliveries are expected to start in FY28. The aircraft will have over 64% indigenous content. This project will boost India's domestic aerospace sector and create jobs.",2025-09-26 06:35:29,positive,HAL
economictimes,Explained: What Dr Trump’s 100% bitter tariff pill means for India’s $10 billion pharma export machine,"The US has imposed a 100% tariff on branded and patented pharmaceuticals, targeting imports from India’s $10 billion export industry. While generics remain unaffected for now, uncertainty persists around complex drugs. Sun Pharma, Dr. Reddy’s, Cipla, and Zydus face the highest risks due to significant US revenue exposure.",2025-09-26 06:24:06,neutral,General
economictimes,"GK Energy shares rally 7% after D-Street debut, IPO investors see 15% gains","GK Energy shares climbed 6.6% to ₹175.95, taking total IPO listing gains to nearly 15% after debuting at an 11.8% premium.",2025-09-26 05:56:41,positive,GKENERGY
economictimes,Japanese stocks on track for 11th straight year of seasonal September outflows,"Foreign investors continued their selling spree of Japanese equities for the second consecutive week, totaling 1.75 trillion yen, driven by profit-taking after a record-setting rally. This trend contributes to a potential 11th straight year of net outflows in September. Meanwhile, Japanese investors increased their holdings of foreign long-term bonds, marking the fourth consecutive week of net purchases.",2025-09-26 05:48:53,positive,General
economictimes,"Tata Motors shares gain 2%, snap two-day fall as JLR commences phased restart after cyberattack","Tata Motors shares rose on September 26 as Jaguar Land Rover (JLR) began a phased restart after a cyberattack halted production for nearly a month. Operations, IT systems, and logistics are being restored, aiming to clear backlogs and stabilise revenue impact.",2025-09-26 05:31:15,positive,TATAMOTORS
economictimes,"Epack Prefab Technologies IPO Day 3: Issue susbcribed 77% so far;check GMP, and other key details. Should you bid?","Epack Prefab Technologies’ IPO is trading at a grey market premium of roughly 6.8% (₹14), indicating moderate investor interest. The shares are likely to list near ₹218 based on the current GMP.",2025-09-26 05:29:00,neutral,General
economictimes,Risk of US Government shutdown rises as Congress hits funding impasse,,2025-09-26 05:26:47,negative,General
economictimes,"Sun Pharma, Cipla or Dr Reddy's: Which pharma major is most vulnerable to Trump's 100% tariff","President Trump's imposition of 100% tariffs on branded drugs has shaken Indian pharma companies, impacting stocks like Sun Pharma, Cipla, and Dr. Reddy's. With significant US revenue exposure, firms face potential earnings hits, especially if tariffs expand to complex generics. Companies with US manufacturing plants may find some mitigation, but uncertainty looms over the future of Indian pharma exports.",2025-09-26 05:22:07,negative,SPARC
economictimes,Nazara Technologies stock price down 75%? Here’s what’s really happening,"Nazara Technologies shares appeared to fall 75% on September 26 due to a simultaneous 1:2 stock split and 1:1 bonus issue. Each share effectively converted into four, lowering the price proportionally while keeping overall investment value unchanged and boosting liquidity for investors.",2025-09-26 05:02:54,negative,NAZARA
economictimes,Japan's Topix hits record high despite US tariffs on pharma,"Japan's Topix index reached a record high on Friday. This happened despite pharmaceutical shares facing pressure. The Nikkei index, however, declined after a record close. Real estate performed well, while pharma struggled. Chip-related shares also saw a sharp drop. Masayuki Kichikawa remains optimistic about Japanese equities. He cited healthy economic fundamentals and reasonable valuations.",2025-09-26 04:43:36,negative,General
economictimes,Swiggy shares down 21% so far in 2025. Will Rapido stake sale fuel Instamart’s next leg?,"Swiggy is selling its stake in Rapido. This move aims to free up funds for Instamart. Instamart is Swiggy's quick-commerce business. The sale is worth Rs 2,400 crore. Prosus and Westbridge Capital are the buyers. Analysts have mixed opinions on the sale. Some believe it's a temporary fix. Others see it as a positive step.",2025-09-26 04:37:33,negative,SWIGGY
economictimes,"Inflation, Tariffs and the Fed’s Next Moves","Fed official Stephen Miran urges steep U.S. rate cuts to 2%, arguing tariffs aren’t inflationary. Other policymakers stress caution, highlighting stable labor conditions and data-driven decisions for future monetary policy.",2025-09-26 04:32:25,negative,General
economictimes,Explained: Why hasn't GST 2.0 triggered a rally in Tata Motors' stock?,"Tata Motors' stock has remained stagnant despite GST benefits boosting domestic auto companies. With Jaguar Land Rover (JLR) contributing 70% to revenue, Tata Motors gains less from Indian tax cuts. A recent cyberattack disrupting JLR's production and potential £2 billion financial impact further dampen investor sentiment.",2025-09-26 04:20:26,negative,General
economictimes,Rs 3 lakh crore lollapalooza to hit India: What this means for consumer demand and stocks,"India is set for a consumption boost of Rs 3 lakh crore. GST and income tax cuts, along with RBI's rate reductions, will fuel this surge. Experts predict a 'Lollapalooza effect' impacting consumption-linked sectors. Rural demand is recovering, and urban areas will benefit from tax cuts. Discretionary spending is expected to rise.",2025-09-26 04:11:41,positive,HESTERBIO
economictimes,"Tata Motors, Mahindra &amp; Mahindra, and other auto stocks in focus as Trump’s slaps 25% tariff on heavy-duty trucks","Donald Trump has announced sweeping tariffs effective October 1, including 25% on heavy-duty trucks, 100% on branded drugs, 50% on kitchen cabinets and vanities, and 30% on upholstered furniture — a move that has stoked global trade tensions.",2025-09-26 04:04:42,negative,TATAMOTORS
economictimes,South Korea to open currency market for 24-hour trading,"South Korea plans 24-hour currency trading to boost foreign investor access and improve MSCI status, but the won faces pressure amid stalled U.S. trade talks and market uncertainty.",2025-09-26 04:02:11,negative,General
